Split,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Role,X_OUTLIER,X_PREDICTED
1,5.1,3.5,1.4,0.2,Setosa,TRAINING,0,1.4952430096648168
1,4.9,3.0,1.4,0.2,Setosa,TRAINING,0,1.6737541598189696
1,4.7,3.2,1.3,0.2,Setosa,TRAINING,0,1.3949863463334187
1,4.6,3.1,1.5,0.2,Setosa,TRAINING,0,1.3862535720591294
1,5.0,3.6,1.4,0.2,Setosa,TRAINING,0,1.3558591029220413
1,5.4,3.9,1.7,0.4,Setosa,TRAINING,0,1.7417850745381118
1,4.6,3.4,1.4,0.3,Setosa,TRAINING,0,1.3331115274987353
1,5.0,3.4,1.5,0.2,Setosa,TRAINING,0,1.486510235390528
1,4.4,2.9,1.4,0.2,Setosa,TRAINING,0,1.368788023510552
1,4.9,3.1,1.5,0.1,Setosa,TRAINING,0,1.4655939394423905
1,5.4,3.7,50.0,0.1,Setosa,TRAINING,1,1.4439322445795912
1,4.8,3.4,1.6,0.2,Setosa,TRAINING,0,1.338393554373464
1,4.8,3.0,1.4,0.1,Setosa,TRAINING,0,1.4568611651681014
1,4.3,3.0,1.1,0.1,Setosa,TRAINING,0,1.0865694626254405
1,5.8,4.0,1.2,0.2,Setosa,TRAINING,0,1.6870235620533247
1,5.7,4.4,1.5,0.4,Setosa,TRAINING,0,1.6373322648924913
1,5.4,3.9,1.3,0.4,Setosa,TRAINING,0,1.7417850745381118
1,5.1,3.5,1.4,0.3,Setosa,TRAINING,0,1.6380776638071526
1,5.7,3.8,1.7,0.3,Setosa,TRAINING,0,1.8864510081556154
1,5.1,3.8,1.5,0.3,Setosa,TRAINING,0,1.4421009651044228
1,5.4,3.4,1.7,0.2,Setosa,TRAINING,0,1.7827435974246568
1,5.1,3.7,1.5,0.4,Setosa,TRAINING,0,1.6502611854810016
1,4.6,3.6,1.0,0.2,Setosa,TRAINING,0,1.0596257408879128
1,5.1,3.3,1.7,0.5,Setosa,TRAINING,0,2.0543981045603106
1,4.8,3.4,1.9,0.2,Setosa,TRAINING,0,1.338393554373464
